formula,Layer group,Layer group number,composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,0-norm,2-norm,3-norm,5-norm,7-norm,10-norm,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,compound possible,max ionic char,avg ionic char,band center,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf,Es,Fm,Md,No,Lr,NComp,0,1,2,3,4,5
Ag2Br2,p-3m1,72,Ag2 Br2,35,47,12,41,6,35,65,95,30,80,15,65,79.904,107.8682,27.9642,93.8861,13.9821,79.904,265.8,1234.93,969.13,750.365,484.565,265.8,11,17,6,14,3,11,4,5,1,4.5,0.5,4,120,145,25,132.5,12.5,120,1.93,2.96,1.03,2.445,0.515,1.93,1,2,1,1.5,0.5,1,0,5,5,2.5,2.5,0,10,10,0,10,0,10,0,0,0,0,0,0,11,17,6,14,3,11,0,1,1,0.5,0.5,0,0,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,16.33,29.48,13.15,22.905,6.575,16.33,0,1.457,1.457,0.7285,0.7285,0,0,0,0,0,0,0,64,225,161,144.5,80.5,64,2,0.707106781,0.629960525,0.574349177,0.552044757,0.535886731,0.107142857,0.178571429,0.714285714,0,TRUE,0.232966652,0.058241663,-2.390146439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,2,2,2,0
Cu2Se2,p-6m2,78,Cu2 Se2,29,34,5,31.5,2.5,29,64,89,25,76.5,12.5,64,63.546,78.96,15.414,71.253,7.707,63.546,494,1357.77,863.77,925.885,431.885,494,11,16,5,13.5,2.5,11,4,4,0,4,0,4,120,132,12,126,6,120,1.9,2.55,0.65,2.225,0.325,1.9,1,2,1,1.5,0.5,1,0,4,4,2,2,0,10,10,0,10,0,10,0,0,0,0,0,0,11,16,5,13.5,2.5,11,0,1,1,0.5,0.5,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1.5,0.5,1,11.07,25.92,14.85,18.495,7.425,11.07,0,0.799,0.799,0.3995,0.3995,0,0,0,0,0,0,0,14,225,211,119.5,105.5,14,2,0.707106781,0.629960525,0.574349177,0.552044757,0.535886731,0.111111111,0.148148148,0.740740741,0,TRUE,0.100238004,0.025059501,-2.20113607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,2,2,2,0
Ga2Ni2Te5,p-3m1,72,Ga2 Ni2 Te5,28,52,24,42,11.11111111,52,61,90,29,80,11.11111111,90,58.6934,127.6,68.9066,99.42586667,31.30459259,127.6,302.91,1728,1425.09,852.7911111,388.9817284,722.66,10,16,6,14,2.222222222,16,4,5,1,4.555555556,0.49382716,5,122,138,16,131.3333333,7.407407407,138,1.81,2.1,0.29,1.993333333,0.118518519,2.1,2,2,0,2,0,2,0,4,4,2.444444444,1.728395062,4,8,10,2,9.555555556,0.691358025,10,0,0,0,0,0,0,10,16,6,14,2.222222222,16,0,0,0,0,0,0,0,5,5,2.222222222,1.234567901,2,0,2,2,0.444444444,0.691358025,0,0,0,0,0,0,0,2,5,3,2.666666667,1.037037037,2,10.32,34.76333333,24.44333333,25.79685185,9.962757202,34.76333333,0,0.464,0.464,0.257777778,0.229135802,0.464,0,0.5953947,0.5953947,0.132309933,0.205815452,0,64,225,161,148.6666667,37.62962963,152,3,0.638284739,0.578314207,0.557812696,0.555815255,0.555567205,0.142857143,0.174603175,0.682539683,0,TRUE,0.020805516,0.00380107,-1.989410859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,5,2,3,1,0.024691358
In2Mn2Se5,p3m1,69,In2 Mn2 Se5,25,49,24,35.33333333,6.074074074,34,52,89,37,77.66666667,12.59259259,89,54.938045,114.818,59.879955,81.59023222,14.76789679,78.96,429.75,1519,1089.25,707.5,360.6666667,494,7,16,9,13.33333333,2.962962963,16,4,5,1,4.222222222,0.345679012,4,120,142,22,129.1111111,10.12345679,120,1.55,2.55,1,2.156666667,0.437037037,2.55,2,2,0,2,0,2,0,4,4,2.444444444,1.728395062,4,5,10,5,8.888888889,1.728395062,10,0,0,0,0,0,0,7,16,9,13.33333333,2.962962963,16,0,0,0,0,0,0,0,5,5,2.222222222,1.234567901,2,0,5,5,1.111111111,1.728395062,0,0,0,0,0,0,0,2,5,3,3.333333333,1.481481481,2,10.48758621,25.92,15.43241379,22.12168582,5.170710941,25.92,0,0.799,0.799,0.443888889,0.394567901,0.799,0,0.000310121,0.000310121,6.89E-05,0.000107202,0,14,217,203,86.88888889,80.98765432,14,3,0.638284739,0.578314207,0.557812696,0.555815255,0.555567205,0.15,0.183333333,0.666666667,0,TRUE,0.221199217,0.044965099,-2.107659635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0.555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,5,2,3,1,0.024691358
As4O6,p-4,50,As4 O6,8,33,25,18,12,8,84,87,3,85.8,1.44,87,15.9994,74.9216,58.9222,39.56828,28.282656,15.9994,54.8,1090,1035.2,468.88,496.896,54.8,15,16,1,15.6,0.48,16,2,4,2,2.8,0.96,2,66,119,53,87.2,25.44,66,2.18,3.44,1.26,2.936,0.6048,3.44,2,2,0,2,0,2,3,4,1,3.6,0.48,4,0,10,10,4,4.8,0,0,0,0,0,0,0,6,15,9,9.6,4.32,6,0,0,0,0,0,0,2,3,1,2.4,0.48,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2.4,0.48,2,9.105,22.175,13.07,14.333,6.2736,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,166,154,73.6,73.92,12,2,0.721110255,0.654213262,0.615030331,0.604895199,0.60103246,0.208333333,0.375,0.416666667,0,TRUE,0.327598738,0.078623697,-2.866273728,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,6,4,5,2,0.01
Ag2Au2Cl8,p2/b11,16,Ag2 Au2 Cl8,17,79,62,32.33333333,20.44444444,17,65,94,29,84.5,12.66666667,94,35.453,196.966569,161.513569,74.44112817,51.98417089,35.453,171.6,1337.33,1165.73,543.11,495.3466667,171.6,11,17,6,15,2.666666667,17,3,6,3,3.833333333,1.111111111,3,102,145,43,114.8333333,17.11111111,102,1.93,3.16,1.23,2.851666667,0.411111111,3.16,1,2,1,1.666666667,0.444444444,2,0,5,5,3.333333333,2.222222222,5,0,10,10,3.333333333,4.444444444,0,0,14,14,2.333333333,3.888888889,0,7,25,18,10.66666667,4.888888889,7,0,1,1,0.333333333,0.444444444,0,0,1,1,0.666666667,0.444444444,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,16.33,24.4975,8.1675,21.83666667,3.547777778,24.4975,0,2.493,2.493,1.662,1.108,2.493,0,0,0,0,0,0,64,225,161,117.6666667,71.55555556,64,3,0.707106781,0.673540003,0.66692688,0.666678292,0.666666794,0.15625,0.3125,0.3125,0.21875,TRUE,0.314923659,0.047639756,-2.806660565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,8,2,4,2,0.055555556
GeSe,p3m1,69,Ge1 Se1,32,34,2,33,1,32,79,89,10,84,5,79,72.64,78.96,6.32,75.8,3.16,72.64,494,1211.4,717.4,852.7,358.7,494,14,16,2,15,1,14,4,4,0,4,0,4,120,120,0,120,0,120,2.01,2.55,0.54,2.28,0.27,2.01,2,2,0,2,0,2,2,4,2,3,1,2,10,10,0,10,0,10,0,0,0,0,0,0,14,16,2,15,1,14,0,0,0,0,0,0,2,4,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,3,1,2,23.005,25.92,2.915,24.4625,1.4575,23.005,0.383,0.799,0.416,0.591,0.208,0.383,0,0,0,0,0,0,14,225,211,119.5,105.5,14,2,0.707106781,0.629960525,0.574349177,0.552044757,0.535886731,0.133333333,0.2,0.666666667,0,TRUE,0.070306205,0.017576551,-2.263956713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,1,0
GeSe2,p-3m1,72,Ge1 Se2,32,34,2,33.33333333,0.888888889,34,79,89,10,85.66666667,4.444444444,89,72.64,78.96,6.32,76.85333333,2.808888889,78.96,494,1211.4,717.4,733.1333333,318.8444444,494,14,16,2,15.33333333,0.888888889,16,4,4,0,4,0,4,120,120,0,120,0,120,2.01,2.55,0.54,2.37,0.24,2.55,2,2,0,2,0,2,2,4,2,3.333333333,0.888888889,4,10,10,0,10,0,10,0,0,0,0,0,0,14,16,2,15.33333333,0.888888889,16,0,0,0,0,0,0,2,4,2,2.666666667,0.888888889,2,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,2.666666667,0.888888889,2,23.005,25.92,2.915,24.94833333,1.295555556,25.92,0.383,0.799,0.416,0.660333333,0.184888889,0.799,0,0,0,0,0,0,14,225,211,84.33333333,93.77777778,14,2,0.745355992,0.693361274,0.670782206,0.667408235,0.666731742,0.130434783,0.217391304,0.652173913,0,TRUE,0.070306205,0.015623601,-2.355548982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,1,1.5,1,0.027777778
Ge2Se2,pm2_1n,32,Ge2 Se2,32,34,2,33,1,32,79,89,10,84,5,79,72.64,78.96,6.32,75.8,3.16,72.64,494,1211.4,717.4,852.7,358.7,494,14,16,2,15,1,14,4,4,0,4,0,4,120,120,0,120,0,120,2.01,2.55,0.54,2.28,0.27,2.01,2,2,0,2,0,2,2,4,2,3,1,2,10,10,0,10,0,10,0,0,0,0,0,0,14,16,2,15,1,14,0,0,0,0,0,0,2,4,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,3,1,2,23.005,25.92,2.915,24.4625,1.4575,23.005,0.383,0.799,0.416,0.591,0.208,0.383,0,0,0,0,0,0,14,225,211,119.5,105.5,14,2,0.707106781,0.629960525,0.574349177,0.552044757,0.535886731,0.133333333,0.2,0.666666667,0,TRUE,0.070306205,0.017576551,-2.263956713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,2,2,2,0
SSn,p3m1,69,S1 Sn1,16,50,34,33,17,16,80,88,8,84,4,80,32.065,118.71,86.645,75.3875,43.3225,32.065,388.36,505.08,116.72,446.72,58.36,388.36,14,16,2,15,1,14,3,5,2,4,1,3,105,139,34,122,17,105,1.96,2.58,0.62,2.27,0.31,1.96,2,2,0,2,0,2,2,4,2,3,1,2,0,10,10,5,5,0,0,0,0,0,0,0,6,14,8,10,4,6,0,0,0,0,0,0,2,4,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,3,1,2,25.786875,33.285,7.498125,29.5359375,3.7490625,25.786875,0,2.202,2.202,1.101,1.101,0,0,0,0,0,0,0,70,141,71,105.5,35.5,70,2,0.707106781,0.629960525,0.574349177,0.552044757,0.535886731,0.2,0.3,0.5,0,TRUE,0.091626826,0.022906706,-2.248732977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,1,0
NbSe2,p-3m1,72,Nb1 Se2,34,41,7,36.33333333,3.111111111,34,47,89,42,75,18.66666667,89,78.96,92.90638,13.94638,83.60879333,6.198391111,78.96,494,2750,2256,1246,1002.666667,494,5,16,11,12.33333333,4.888888889,16,4,5,1,4.333333333,0.444444444,4,120,164,44,134.6666667,19.55555556,120,1.6,2.55,0.95,2.233333333,0.422222222,2.55,1,2,1,1.666666667,0.444444444,2,0,4,4,2.666666667,1.777777778,4,4,10,6,8,2.666666667,10,0,0,0,0,0,0,5,16,11,12.33333333,4.888888889,16,0,1,1,0.333333333,0.444444444,0,0,2,2,1.333333333,0.888888889,2,0,6,6,2,2.666666667,0,0,0,0,0,0,0,2,7,5,3.666666667,2.222222222,2,18.18,25.92,7.74,23.34,3.44,25.92,0,0.799,0.799,0.532666667,0.355111111,0.799,0,0,0,0,0,0,14,229,215,85.66666667,95.55555556,14,2,0.745355992,0.693361274,0.670782206,0.667408235,0.666731742,0.135135135,0.216216216,0.648648649,0,FALSE,0.201982698,0.044885044,-2.183065575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,1,1.5,1,0.027777778
MoS2,p-6m2,78,Mo1 S2,16,42,26,24.66666667,11.55555556,16,50,88,38,75.33333333,16.88888889,88,32.065,95.96,63.895,53.36333333,28.39777778,32.065,388.36,2896,2507.64,1224.24,1114.506667,388.36,6,16,10,12.66666667,4.444444444,16,3,5,2,3.666666667,0.888888889,3,105,154,49,121.3333333,21.77777778,105,2.16,2.58,0.42,2.44,0.186666667,2.58,1,2,1,1.666666667,0.444444444,2,0,4,4,2.666666667,1.777777778,4,0,5,5,1.666666667,2.222222222,0,0,0,0,0,0,0,6,6,0,6,0,6,0,1,1,0.333333333,0.444444444,0,0,2,2,1.333333333,0.888888889,2,0,5,5,1.666666667,2.222222222,0,0,0,0,0,0,0,2,6,4,3.333333333,1.777777778,2,15.69,25.786875,10.096875,22.42125,4.4875,25.786875,0,2.202,2.202,1.468,0.978666667,2.202,0,0,0,0,0,0,70,229,159,123,70.66666667,70,2,0.745355992,0.693361274,0.670782206,0.667408235,0.666731742,0.277777778,0.444444444,0.277777778,0,TRUE,0.043141733,0.009587052,-2.431631278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,1,1.5,1,0.027777778
